Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10224,WHOSIS_000001,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,72.1 [71.6-72.7],72.08095548,71.56647872,72.73081838,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
11573,WHOSIS_000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,2014,SEX_MLE,,,,,,,78.4 [78.0-78.9],78.39096907,77.9773549,78.89185172,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
12940,WHOSIS_000001,COUNTRY,URY,YEAR,AMR,Americas,SEX,2015,SEX_BTSX,,,,,,,77.1 [77.1-77.2],77.09925201,77.05355529,77.20308276,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
12943,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,2020,SEX_FMLE,,,,,,,83.2 [83.1-83.3],83.16166983,83.13841156,83.25733665,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
12987,WHOSIS_000001,COUNTRY,PRI,YEAR,AMR,Americas,SEX,2020,SEX_MLE,,,,,,,76.1 [76.1-76.3],76.14090106,76.05102592,76.30635768,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
14093,WHOSIS_000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2005,SEX_MLE,,,,,,,58.3 [57.7-59.0],58.2958344,57.73964597,59.00903347,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
14945,WHOSIS_000001,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,2019,SEX_BTSX,,,,,,,72.9 [72.4-73.6],72.94212581,72.39303564,73.64425455,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
16582,WHOSIS_000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,2009,SEX_FMLE,,,,,,,76.6 [76.2-76.9],76.55739127,76.24832572,76.90901942,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
16789,WHOSIS_000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2012,SEX_MLE,,,,,,,73.8 [73.4-74.2],73.77355049,73.35270086,74.18741879,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
17668,WHOSIS_000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2003,SEX_BTSX,,,,,,,72.3 [72.0-72.6],72.30491342,72.02894266,72.58864374,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
