SpatialDimType,SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue
COUNTRY,ERI,Africa,2000,Male,51.25031992
COUNTRY,KGZ,Europe,2000,Female,69.38331499
COUNTRY,ISR,Europe,2017,Female,84.23610352
COUNTRY,PNG,Western Pacific,2018,Male,65.44844312
COUNTRY,LAO,Western Pacific,2009,Female,66.13687655
COUNTRY,SAU,Eastern Mediterranean,2004,Female,72.92597569
REGION,AMR,,2001,Both,74.30398059
COUNTRY,COM,Africa,2018,Both,68.19621524
COUNTRY,SAU,Eastern Mediterranean,2013,Both,77.33139242
COUNTRY,CHN,Western Pacific,2019,Both,77.31273653
COUNTRY,GRC,Europe,2011,Male,77.9644201
COUNTRY,BWA,Africa,2000,Both,47.16383585
COUNTRY,PRI,Americas,2006,Male,74.27769742
COUNTRY,VEN,Americas,2006,Both,74.69093059
COUNTRY,CMR,Africa,2002,Male,51.7191217
WORLDBANKINCOMEGROUP,WB_LMI,,2016,Male,66.91840776
COUNTRY,IRQ,Eastern Mediterranean,2005,Male,65.07986118
COUNTRY,TZA,Africa,2012,Male,61.6877384
COUNTRY,MDV,South-East Asia,2010,Female,76.63298354
COUNTRY,PNG,Western Pacific,2012,Male,64.16737727
COUNTRY,AGO,Africa,2005,Female,55.16790921
COUNTRY,IDN,South-East Asia,2004,Female,67.26919104
COUNTRY,GRC,Europe,2013,Male,78.52883174
COUNTRY,GAB,Africa,2013,Both,63.25439162
REGION,SEAR,,2005,Female,67.97689254
COUNTRY,CZE,Europe,2019,Male,76.30310569
COUNTRY,CHE,Europe,2018,Male,81.52853149
COUNTRY,POL,Europe,2021,Female,79.39878959
COUNTRY,SLB,Western Pacific,2018,Female,68.17591111
COUNTRY,ARG,Americas,2003,Both,74.25492535
COUNTRY,ZAF,Africa,2003,Both,52.93394541
COUNTRY,BHS,Americas,2012,Male,69.52595492
COUNTRY,GAB,Africa,2001,Male,56.25882448
COUNTRY,MRT,Africa,2016,Male,69.64545325
COUNTRY,FSM,Western Pacific,2003,Both,64.10175678
COUNTRY,BOL,Americas,2013,Male,70.44673368
COUNTRY,PRY,Americas,2003,Both,75.00581985
COUNTRY,GBR,Europe,2011,Both,80.64139781
COUNTRY,ARE,Eastern Mediterranean,2017,Both,80.92702059
COUNTRY,JOR,Eastern Mediterranean,2005,Both,73.42688191
COUNTRY,CUB,Americas,2014,Both,78.1433227
COUNTRY,TON,Western Pacific,2005,Both,71.97193468
COUNTRY,AUT,Europe,2011,Female,83.2818469
COUNTRY,MYS,Western Pacific,2021,Male,70.63625944
COUNTRY,GHA,Africa,2010,Female,64.28330038
COUNTRY,PRT,Europe,2005,Female,81.2138435
COUNTRY,PER,Americas,2007,Female,80.30924599
COUNTRY,CHL,Americas,2019,Male,78.66286141
COUNTRY,THA,South-East Asia,2020,Both,76.50524949
COUNTRY,MAR,Eastern Mediterranean,2002,Female,71.41568272
COUNTRY,SLB,Western Pacific,2015,Male,62.85393319
COUNTRY,PAK,Eastern Mediterranean,2000,Male,60.97632896
COUNTRY,SOM,Eastern Mediterranean,2000,Female,51.57348696
COUNTRY,SVK,Europe,2015,Female,80.01781693
COUNTRY,GEO,Europe,2003,Female,74.19297045
COUNTRY,TKM,Europe,2007,Male,62.29977817
COUNTRY,LKA,South-East Asia,2008,Both,73.1378661
COUNTRY,CHL,Americas,2006,Male,75.71148795
COUNTRY,MDG,Africa,2015,Male,62.32660335
COUNTRY,UKR,Europe,2018,Both,72.71826067
COUNTRY,MAR,Eastern Mediterranean,2012,Female,73.51043095
COUNTRY,MRT,Africa,2010,Both,68.45329118
COUNTRY,VEN,Americas,2009,Female,79.04311979
COUNTRY,JAM,Americas,2001,Male,69.93620994
COUNTRY,KIR,Western Pacific,2014,Female,64.81259393
COUNTRY,TGO,Africa,2004,Female,58.72900791
COUNTRY,VUT,Western Pacific,2000,Male,62.03202708
COUNTRY,SWZ,Africa,2007,Female,45.08337273
COUNTRY,GHA,Africa,2010,Both,61.9748058
COUNTRY,TGO,Africa,2011,Both,59.7945853
COUNTRY,JOR,Eastern Mediterranean,2018,Male,79.67533655
